model,idx,alpha,beta,lambda,alpha_estimate,alpha_se,beta_estimate,beta_se
2,4,-15.6491735054037,0.299088117697281,0.00324018506062842,-14.5664375829434,1.33259757940254,-0.836491469223569,0.0890174952501012
2,4,-29.5146740400057,0.603531521208376,0.00752184853038165,-29.344471767333,0.466199482489343,-0.384987677592735,0.0921500059685637
2,4,157.418199874637,0.200234287292441,0.0111920694812485,50.5,2.58154988692603e-10,0.653688045608194,0.236265043881065
2,4,-46.3508312686243,0.433729108067983,0.0332407355233799,-46.2271208082873,0.684217000432245,-0.485047217573573,0.103821407536794
2,4,-13.4524592768479,0.958505674032723,0.0652489636003806,-13.6156880138615,0.442826693319252,-0.284367601614939,0.108606006681542
2,4,-0.187883805793038,0.172652960258381,0.00022992191810986,0.6374606118609,1.70765281335121,-0.99066740451467,0.112542086316097
2,4,110.432523523527,0.966980761466875,0.000372429960452816,50.5,2.58154988692603e-10,0.653688045608194,0.236265043881065
2,4,-66.3166998961246,0.305926615030496,0.00319578228472958,-50.5,2.58153952204717e-10,0.653688045608194,0.236265043881065
2,4,59.4705039674985,0.732237089998879,0.00181618081150286,50.5,2.58154988692603e-10,0.653688045608194,0.236265043881065
2,4,64.9087888896379,2.82331073273302,0.0109049915204168,50.5,7.18654636000913e-08,0.427772542095066,0.254213053901195
2,4,38.2275437841232,0.475088228785892,0.0195255888789377,37.4720025654584,0.587752092540917,-0.467391473452344,0.0903482377436359
2,4,-23.2136372413577,0.479318992323097,0.388972024021366,-25.7403966599178,2.798780438127,-1.24156598017524,0.0482740444101536
2,4,-8.70450788423216,0.32038655735291,0.0143028923966259,-8.28062909209202,1.35441635577683,-0.836707313954183,0.089144599678126
2,4,49.595166851739,1.31066834229789,0.180226586421659,48.6496636780669,1.67090734743574,-1.02441131638082,0.125462242023458
2,4,-82.0466642533885,0.313117971567222,0.0244089199938751,-50.4999999999999,2.73861506417151e-07,0.311853965874422,0.213359872955299
2,4,-37.0711337806092,0.597750830018577,0.0467251902896521,-37.4885246018106,0.559808980349787,-0.435593706663429,0.101516724644485
2,4,17.5745170956719,0.979289144649813,0.0373441248148342,16.6121231305342,0.420645097870598,-0.246609139653652,0.128861712073999
2,4,-15.4026582517904,0.769191760894116,0.485716249160397,-0.234735456043965,2.7937016627594,-1.25507863179264,0.0410883220321105
2,4,17.403779983818,0.82135565523529,0.0730032368960138,17.9575161292209,0.661262477354316,-0.520220283432515,0.0931289150147519
2,4,-58.1037000459383,0.766733474410494,0.0511025184856444,-50.4999999999298,8.40414959956127e-06,0.24460741658405,0.188284654193378
2,4,72.0159202324444,1.09223125267479,0.381528740547239,22.4308665511992,3.08945265153468,-1.26923220024163,0.0313130998079489
2,4,106.70603542899,0.601106423388036,0.00767640361757303,50.5,2.58154988692603e-10,0.653688045608194,0.236265043881065
2,4,-8.25556187749286,0.351811707069665,0.114244950652836,-8.60263116142796,1.11965811402175,-0.752570701127239,0.0886413872559269
2,4,50.842598973922,0.571369576936785,0.0051342803901005,50.4154948051008,0.278150265683862,-0.358741669179317,0.102609842765442
2,4,-7.10110226626847,0.320025901404132,0.000239700740451333,-5.96342230712489,0.848597177050539,-0.604279503354033,0.0885046367474162
2,4,23.8435523893488,0.979639916777729,0.0272473881290588,24.1419889860138,0.580022699378072,-0.458449105296037,0.0912722031528679
2,5,-48.3600719643922,0.335402946498605,0.000825076365917452,-47.2467201712212,0.906335088789202,-0.652212071726418,0.101027633832885
